#,Country (or dependency),Population 2026,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
1,India,"1,47,66,25,576",0.87%,"1,27,60,051",497,"29,73,190","−440,456",1.93,29.2,37.60%,17.79%
2,China,"1,41,29,14,089",−0.22%,"−3,182,005",150,"93,88,211","−232,107",1.03,40.6,68.70%,17.02%
3,United States,"34,90,35,494",0.51%,"17,59,687",38,"91,47,420","11,77,848",1.63,38.7,83.10%,4.20%
4,Indonesia,"28,78,86,782",0.76%,"21,65,546",159,"18,11,570","−39,472",2.08,30.7,60.30%,3.47%
5,Pakistan,"25,92,99,791",1.60%,"40,80,237",336,"7,70,880","−1,144,738",3.44,20.8,34.70%,3.12%
6,Nigeria,"24,24,31,832",2.06%,"49,04,050",266,"9,10,770","−2,810",4.21,18.3,55.80%,2.92%
7,Brazil,"21,35,62,666",0.35%,"7,50,261",26,"83,58,140","−205,642",1.59,35.3,91.70%,2.57%
8,Bangladesh,"17,78,18,044",1.21%,"21,31,145","1,366","1,30,170","−371,398",2.09,26.3,43.20%,2.14%
9,Russia,"14,33,94,458",−0.42%,"−602,935",9,"1,63,76,870","3,24,924",1.47,40.7,75.40%,1.73%
10,Ethiopia,"13,89,02,185",2.53%,"34,30,134",139,"10,00,000","27,298",3.72,19.3,22.90%,1.67%
11,Mexico,"13,29,97,658",0.80%,"10,50,758",68,"19,43,950","−109,844",1.85,30,88.30%,1.60%
12,Japan,"12,24,27,731",−0.55%,"−675,748",336,"3,64,555","1,28,619",1.23,50.2,93.40%,1.47%
13,Egypt,"12,01,01,175",1.47%,"17,35,180",121,"9,95,450","−52,287",2.68,24.7,41.10%,1.45%
14,Philippines,"11,77,24,471",0.80%,"9,37,509",395,"2,98,170","−144,275",1.86,26.6,49.90%,1.42%
15,DR Congo,"11,64,52,162",3.21%,"36,19,689",51,"22,67,050","−28,843",5.8,15.9,45.40%,1.40%
16,Vietnam,"10,21,77,431",0.57%,"5,78,904",330,"3,10,070","−51,045",1.86,33.9,42.20%,1.23%
17,Iran,"9,31,68,497",0.81%,"7,50,816",57,"16,28,550","66,848",1.66,34.5,73.50%,1.12%
18,Turkey,"8,79,26,082",0.27%,"2,40,656",114,"7,69,630","−217,896",1.62,33.9,77.50%,1.06%
19,Germany,"8,36,44,258",−0.51%,"−430,817",240,"3,48,560","1,58,442",1.46,45.7,77%,1.01%
